"location","n","mean_sev","sd_sev","adjusted","rating"
3,13535,6.75749333004967,1.20699451401184,6.40346307176401,10
8,13889,5.71860642257719,1.20462812669594,5.56374406586686,6.72
9,8796,5.2022238643828,1.47684496394175,5.11731454031593,4.97
10,2213,5.39812005537265,1.18047299790087,5.09390285504687,4.88
14,6429,5.15335064082148,1.11491611300048,5.06350356012562,4.76
7,173,5.81714458423061,0.865603371601824,4.92870941165562,4.24
1,1662,4.82438160181843,2.31315345745055,4.8606644553825,3.97
18,4545,4.50022665758639,1.02332903440486,4.65547749980905,3.17
13,1226,3.98679018099899,1.63209501343201,4.62935176772048,3.07
17,1727,4.1721041166901,1.09693927489013,4.62896461911438,3.07
11,2844,4.26651820596968,0.974575832090418,4.58859068167962,2.91
4,2919,4.14539987057973,1.1317195333277,4.52630508526116,2.66
12,3463,4.01257648886872,0.951590437254352,4.42533961800149,2.27
19,1515,3.12463041542249,1.86930055353698,4.30920748801857,1.82
16,3145,3.64767708885356,1.80938495622715,4.26375775186739,1.64
5,1710,2.71874593892138,1.93548208273406,4.1186709310725,1.07
6,3160,3.256879395218,2.28514814127815,4.06642834317055,0.87
15,4729,3.24159827743038,1.73782621388654,3.89593727060829,0.2
2,5390,3.2406338899196,1.53883111606675,3.84465242899451,0
